     x  y
 -4.90  -1296.60
 -4.79  -1095.54
 -4.78  -1076.46
 -4.72  -977.67
 -4.60  -800.99
 -4.58  -772.34
 -4.55  -734.36
 -4.54  -721.90
 -4.45  -612.32
 -4.29  -444.90
 -4.28  -433.35
 -4.12  -301.25
 -4.05  -252.35
 -3.97  -202.93
 -3.76  -96.97
 -3.73  -83.78
 -3.64  -49.26
 -3.62  -43.52
 -3.57  -28.94
 -3.47   -1.96
 -3.36   23.28
 -3.29   31.88
 -3.27   38.13
 -3.23   41.67
 -3.21   43.12
 -3.13   52.61
 -3.00   62.62
 -2.95   64.97
 -2.73   70.42
 -2.70   69.23
 -2.65   69.69
 -2.63   69.99
 -2.51   67.48
 -2.48   67.57
 -2.13   51.03
 -1.79   35.34
 -1.62   28.25
 -1.52   22.17
 -1.30   18.30
 -1.28   17.92
 -1.27   16.66
 -0.99    9.59
 -0.86    8.70
 -0.60    7.19
 -0.47    4.38
 -0.41    6.66
 -0.38    5.28
 -0.35    8.28
 -0.27    7.14
 -0.12    6.43
 -0.08    7.97
  0.12    9.08
  0.21    9.21
  0.25    9.17
  0.77   20.35
  0.79   21.69
  1.01   30.95
  1.09   35.52
  1.31   53.89
  1.33   55.84
  1.43   67.90
  1.56   87.38
  1.60   95.23
  1.70  114.32
  1.75  124.25
  1.88  159.31
  2.02  204.36
  2.04  210.67
  2.08  225.98
  2.14  249.71
  2.19  272.18
  2.31  330.38
  2.46  421.13
  2.64  554.43
  2.70  604.63
  2.83  731.89
  2.86  763.87
  3.01  941.05
  3.09  1047.76
  3.18  1181.06
  3.25  1293.08
  3.27  1325.59
  3.30  1377.93
  3.33  1431.20
  3.38  1524.79
  3.45  1660.76
  3.64  2085.87
  3.66  2137.04
  3.68  2187.96
  3.74  2344.42
  3.78  2453.63
  4.02  3202.61
  4.06  3343.39
  4.25  4083.99
  4.29  4253.87
  4.54  5460.05
  4.55  5510.26
  4.69  6306.11
  4.72  6488.45
  4.89  7594.08
